date,portfolio_nav,benchmark_nav,drawdown
2024-04-18,0.9130147074504608,1.2021417494658255,-53.941732494608985
2024-04-19,0.9083821171185057,1.1926655183387298,-54.17542980858532
2024-04-22,0.897728559477415,1.1890430656651632,-54.71286299965369
2024-04-23,0.9070978868804956,1.1807320001279662,-54.24021454793081
2024-04-24,0.9312266112665852,1.1859169870030157,-53.02300826059545
2024-04-25,0.9134314491695049,1.1888329317553086,-53.9207093923306
2024-04-26,0.9404696535556744,1.207013555994457,-52.55673043304182
2024-04-29,0.9673448473035413,1.220363457578375,-51.200974766898156
2024-04-30,0.9600278998229084,1.2137907113403277,-51.570088124696035
2024-05-06,0.9737019835329769,1.2318012752838408,-50.880280391841296
2024-05-07,0.9701609268319303,1.2321821429954523,-51.058913808650075
2024-05-08,0.9541523824807081,1.222488706144228,-51.86648658057119
2024-05-09,0.9594483174395577,1.2340521327413216,-51.59932594555033
2024-05-10,0.9425722936679488,1.2346300009934217,-52.45065989554837
2024-05-13,0.9244216594286334,1.2340959106392078,-53.36629330250776
2024-05-14,0.9242165175576512,1.231521096737368,-53.37664196293257
2024-05-15,0.913890808573474,1.2210854561404396,-53.89753638302805
2024-05-16,0.9205383695859034,1.2259020351671222,-53.562191135169044
2024-05-17,0.9303480010053308,1.23856765453177,-53.06733094906434
2024-05-20,0.9342602257983732,1.2429427502959218,-52.869973453518234
2024-05-21,0.9335722977617623,1.2379584682450284,-52.904676918069384
2024-05-22,0.9425492805421978,1.240750151117936,-52.451820823946704
2024-05-23,0.9260392755653123,1.2263846023030542,-53.28469045850511
2024-05-24,0.9045184892936634,1.2128077291562485,-54.37033576403787
2024-05-27,0.937430609027038,1.2243357966819721,-52.710039163688236
2024-05-28,0.9308303545905283,1.2153997174641822,-53.04299796704562
2024-05-29,0.929990546943685,1.2168645932780722,-53.085363204906244
2024-05-30,0.9289060592717812,1.2103955669827093,-53.140071659097885
2024-05-31,0.9514562847888869,1.205550700698931,-52.002494892044425
2024-06-03,0.9372684724832935,1.2085218729531728,-52.718218361945645
2024-06-04,0.9193498932095875,1.21758827560544,-53.622145440852755
2024-06-05,0.9030470239984222,1.2105578819579497,-54.44456583025704
2024-06-06,0.8822843374740889,1.209699498406316,-55.49196776394408
2024-06-07,0.8845018711580882,1.2035938286634102,-55.380101264109626
2024-06-11,0.9028094013796704,1.193074673307437,-54.456553026137335
2024-06-12,0.9080362434445866,1.193494267621025,-54.192877876033144
2024-06-13,0.9119642900740152,1.1874354065535513,-53.99472222645212
2024-06-14,0.9223793423733118,1.1926220771939042,-53.46932076142734
2024-06-17,0.926894613188517,1.1908258363683204,-53.241541789885105
2024-06-18,0.9427363194351699,1.1939882843610197,-52.44238539284562
2024-06-19,0.9357583898693211,1.1883170260663707,-52.79439653128073
2024-06-20,0.9037580272315398,1.179740935870431,-54.408698306063954
2024-06-21,0.902120591516868,1.1771607339196204,-54.49130097560892
2024-06-24,0.8650425240427124,1.1708264088485234,-56.36175447035754
2024-06-25,0.857162938113102,1.1644590819774814,-56.75925088921715
2024-06-26,0.8926194465226217,1.1719898906731188,-54.97059914482955
2024-06-27,0.8690579176268578,1.1631848083959273,-56.15919248496034
2024-06-28,0.8812224341547312,1.1657235897202762,-55.54553691978431
2024-07-01,0.8880172562173163,1.1712887708008157,-55.20276288815453
2024-07-02,0.8749174984366054,1.1691345614717457,-55.86359796911904
2024-07-03,0.8583261907506946,1.1663152648478634,-56.70056902930691
2024-07-04,0.8418700750433243,1.1603880742271098,-57.53072014644086
2024-07-05,0.8477020830841024,1.1554202930761888,-57.2365165763956
2024-07-08,0.8269016185009196,1.1455530916456618,-58.28582427559347
2024-07-09,0.8546779330230249,1.1583668823570021,-56.88461034756654
2024-07-10,0.8501103308094882,1.1547147954140968,-57.11502924760459
2024-07-11,0.8647597429656633,1.1679165256513224,-56.376019746027154
2024-07-12,0.859329258471923,1.1693416646040542,-56.649967915159074
2024-07-15,0.8520021396734102,1.1706368168753694,-57.019594378908
2024-07-16,0.8620714180593552,1.1780575073201698,-56.51163594877365
2024-07-17,0.8462565019333405,1.1791691291734228,-57.30944088177561
2024-07-18,0.8444795766912263,1.1856842906380967,-57.399080290068284
2024-07-19,0.8389665204730933,1.191774469740212,-57.677193902034176
2024-07-22,0.8424514109681528,1.1836617517557464,-57.50139386580404
2024-07-23,0.8230422867559635,1.1583894448120666,-58.48051350945871
2024-07-24,0.8092257740224814,1.1510778623589217,-59.17750626792956
2024-07-25,0.8006828110362878,1.1447152500307287,-59.6084676437934
2024-07-26,0.8144702957191365,1.1480898524516465,-58.91293924477953
2024-07-29,0.8167525284557904,1.1418427464232617,-58.797808913322015
2024-07-30,0.8117716844764438,1.1346497010474705,-59.04907435574185
2024-07-31,0.8447642293968519,1.159132322063892,-57.38472059755198
2024-08-01,0.8446369785501568,1.151448627478713,-57.3911399394197
2024-08-02,0.830009348529877,1.1397043644880427,-58.12905061155473
2024-08-05,0.7982782043451729,1.125873579533496,-59.72977129566325
2024-08-06,0.8107894562465472,1.1257584099867488,-59.09862419343314
2024-08-07,0.8102807248017523,1.1252566479263588,-59.124287842421
2024-08-08,0.8038250240485084,1.125744266358201,-59.44995443880908
2024-08-09,0.7995395606137065,1.1219355892420868,-59.66614046478873
2024-08-12,0.7917859583689412,1.1199952181065385,-60.05728146548195
2024-08-13,0.7982284887896686,1.1228660379487023,-59.732279264413265
2024-08-14,0.7912570308048362,1.1143963617199326,-60.08396393515054
2024-08-15,0.7962265546605392,1.125412901346507,-59.83326955174949
2024-08-16,0.7950477099016514,1.1266524893628127,-59.89273797740475
2024-08-19,0.7947064986217176,1.1304692485523828,-59.909950844052794
2024-08-20,0.7840439023904083,1.1222979355353617,-60.447839999086206
2024-08-21,0.787266896553271,1.1185707526599284,-60.2852516791938
2024-08-22,0.7695804863073719,1.1157086883973417,-61.17746667602605
2024-08-23,0.7656670080951047,1.1204417526649795,-61.37488740200805
2024-08-26,0.7709456774688044,1.1194422695809276,-61.10859775289025
2024-08-27,0.7597291000415818,1.1130813410180382,-61.67443324209126
2024-08-28,0.7613212963970162,1.1067375868612426,-61.594112733493446
2024-08-29,0.7727163081765436,1.1037691086314863,-61.019275880937016
2024-08-30,0.7870576519325753,1.1185023917886134,-60.29580730840264
2024-09-02,0.7683321806754998,1.0995024473528685,-61.2404391498012
2024-09-03,0.7746485917283273,1.1023368978644805,-60.921799211614946
2024-09-04,0.7657354005207084,1.0951765175355739,-61.37143725316807
2024-09-05,0.7688800171842158,1.0970599774038696,-61.21280279272856
2024-09-06,0.7545501659888169,1.088165655565602,-61.935691607425944
2024-09-09,0.7557773240810857,1.075236358554454,-61.873785950020974
2024-09-10,0.7604248441406607,1.076180277383496,-61.639335485648594
2024-09-11,0.7592261342762918,1.0729390291746015,-61.6998060335422
2024-09-12,0.7525546551888422,1.0683406661312294,-62.036357861195036
2024-09-13,0.7479963704768477,1.063886096644761,-62.26630672720733
2024-09-18,0.7429973538557184,1.0678473228973562,-62.51848891323456
2024-09-19,0.7541149118292162,1.0762749049935427,-61.95764859492255
2024-09-20,0.7522078931943174,1.077963384839714,-62.05385074118285
2024-09-23,0.7488951627642796,1.0819081101923367,-62.22096592900495
2024-09-24,0.7801886212154585,1.1287656148184817,-60.642324896443654
2024-09-25,0.7868881214469501,1.145476648700891,-60.30435950410499
2024-09-26,0.8110825999859564,1.1938973610346402,-59.08383615918016
2024-09-27,0.8541450876788501,1.2472272594867546,-56.91149045497417
2024-09-30,0.9682344497801479,1.353024968555683,-51.1560975611898
2024-10-08,1.1145640256086202,1.4332533544814254,-43.77430327851242
2024-10-09,1.0269574706924574,1.3321897199393171,-48.19373497947797
2024-10-10,1.032078633529946,1.346267344887331,-47.93539096159639
2024-10-11,0.9845365394239466,1.3090153845635766,-50.33371649812059
2024-10-14,1.0502259609284734,1.333994042838357,-47.01992437271383
2024-10-15,1.0514964641600235,1.2985181181565464,-46.95583211086122
2024-10-16,1.0474571036536313,1.2902993229579716,-47.15960314021698
2024-10-17,1.0374464184716456,1.2756953529761395,-47.6646057565622
2024-10-18,1.081770709820023,1.3218345633238875,-45.428606652439086
2024-10-21,1.130186445873226,1.3251896340672866,-42.98620906079917
2024-10-22,1.1173690654761363,1.3327931814240277,-43.632799230957566
2024-10-23,1.1153765613878277,1.337990291409261,-43.73331380707121
2024-10-24,1.1193835410265704,1.3230465375892186,-43.53117627458258
2024-10-25,1.1470925275158967,1.3323368810268275,-42.133358800653326
2024-10-28,1.1573619630059528,1.3349420027041272,-41.6153031734322
2024-10-29,1.127759285605751,1.3216375627833987,-43.1086504584739
2024-10-30,1.1266640378657238,1.3097838550480128,-43.16390171892262
2024-10-31,1.1296700114910663,1.3103196291675296,-43.01226129492902
2024-11-01,1.0642526249971827,1.309976141045652,-46.31233024458757
2024-11-04,1.083149177737836,1.3284106770925415,-45.35906796528747
2024-11-05,1.130713360333509,1.362022336830514,-42.95962814488824
2024-11-06,1.1284600556049238,1.3551896172296336,-43.07329916367189
2024-11-07,1.1483016792394578,1.3960754798310173,-42.072361498984556
2024-11-08,1.1506574232835423,1.3820503883604671,-41.953522789737846
2024-11-11,1.184593154126562,1.3911710082555016,-40.24158873609769
2024-11-12,1.1712784303235788,1.3758864603380665,-40.91326807014771
2024-11-13,1.1635215407595647,1.3843547895545938,-41.304574904127186
2024-11-14,1.1184967357568818,1.3603540621679826,-43.57591237138716
2024-11-15,1.0909186686940116,1.3365159865096725,-44.96712543695786
2024-11-18,1.0316078531935882,1.3303028925404146,-47.959140115351865
2024-11-19,1.0687544706060528,1.3392302161786274,-46.085228525820824
2024-11-20,1.098140328221515,1.3422212568634484,-44.60281900943116
2024-11-21,1.090454950884606,1.3434083114022903,-44.99051831194479
2024-11-22,1.037850644533342,1.3017859698572336,-47.644214023624784
2024-11-25,1.041350969868417,1.2958564219650552,-47.46763535591748
2024-11-26,1.0258224306170522,1.2931940522674426,-48.25099361835393
2024-11-27,1.0479829061710446,1.315709361903463,-47.13307831777501
2024-11-28,1.0434089197562804,1.3040934018289059,-47.36381927751871
2024-11-29,1.0603220542490688,1.31892131259608,-46.51061322676539
2024-12-02,1.089280924736297,1.3293771583766483,-45.04974365624197
2024-12-03,1.0941751684580223,1.330811389662018,-44.802846881488705
2024-12-04,1.0757870753276435,1.323627099865804,-45.730459224862685
2024-12-05,1.0849807047940951,1.3206067616647053,-45.26667409428827
2024-12-06,1.0909256216852534,1.337967392201136,-44.96677468386706
2024-12-09,1.0892068880062777,1.3357549245925708,-45.05347853968757
2024-12-10,1.0985820357427947,1.345542989053842,-44.58053647333593
2024-12-11,1.1095431110104557,1.34325104772296,-44.02759013774577
2024-12-12,1.1240114555203269,1.3566113886517588,-43.297714839617605
2024-12-13,1.1058107209051673,1.3245107398969873,-44.21587562811195
2024-12-16,1.0851079138443103,1.3173247663354701,-45.26025686090079
2024-12-17,1.044187088094774,1.3207566167767009,-47.324563518322186
2024-12-18,1.054889488885635,1.3274435223023133,-46.78466636819645
2024-12-19,1.0550027306296417,1.328647077741128,-46.77895373454918
2024-12-20,1.068145360421741,1.322679813506155,-46.11595591671646
2024-12-23,1.0219828085218006,1.324642410343707,-48.444688572158725
2024-12-24,1.030585263259618,1.3415191267319633,-48.0107260540479
2024-12-25,1.0027090620764298,1.3421727644227126,-49.416978900417355
2024-12-26,1.016774163467534,1.3427960943380024,-48.70744574933493
2024-12-27,1.021851250794455,1.3406243738497778,-48.451325180472956
2024-12-30,1.0159135034539322,1.3466940110151926,-48.7508629131705
2024-12-31,0.9744393886118609,1.3250933226919368,-50.84308099066415
